x_m,y_m,station_m,path_yaw_deg,curvature_1_per_m
110.10000000000001,0.11758465616419422,110.67589449629659,-3.7397572550527047,0.021329700749583513
110.2,0.1111556095999997,110.776100946387,-3.6176686327397714,0.021193995319449377
110.30000000000001,0.10493980222098775,110.87629394145839,-3.4964067928214226,0.02104731241317892
110.4,0.09893567510123247,110.97647402701669,-3.3760341796879163,0.020889545331340076
110.5,0.09314156249999828,111.07664174507413,-3.2566138402346385,0.0207205887002489
110.60000000000001,0.08755569082468728,111.17679763338018,-3.1382094188370044,0.020540338455269536
110.7,0.08217617759383167,111.27694222465999,-3.020885152417122,0.020348691819456977
110.80000000000001,0.07700103040000061,111.37707604586181,-2.9047058655839,0.02014554727769388
110.9,0.07202814587283779,111.47719961741477,-2.7897369658968727,0.019930804542398345
111.0,0.06725530864197449,111.5773134524988,-2.676044439280551,0.019704364517468126
111.10000000000001,0.06268019030000338,111.67741805632822,-2.563694845563163,0.01946612925925925
111.2,0.05830034836543052,111.77751392545063,-2.452755314180845,0.01921600192764103
111.30000000000001,0.05411322524568485,111.87760154706301,-2.34329354010101,0.018953886735176145
111.4,0.05011614720000024,111.97768139834638,-2.2353777799145216,0.018679688893041946
111.5,0.04630632330247475,112.07775394582134,-2.129076848166484,0.01839331454995108
111.60000000000001,0.042680844404934026,112.1778196447258,-2.0244601139189866,0.01809467072887308
111.7,0.039236682099996756,112.277878938417,-1.9215974975614574,0.017783665257695203
111.80000000000001,0.0359706876839474,112.37793225779986,-1.820559467906669,0.017460206698935637
111.9,0.03287959111975036,112.47798002078318,-1.721417039530889,0.017124204275226373
112.0,0.029959999999994213,112.57802263176623,-1.6242417704346057,0.01677556778879305
112.10000000000001,0.027208398509874776,112.67806048115716,-1.5291057600039364,0.016414207541119136
112.2,0.02462114639012536,112.77809394492569,-1.436081647279598,0.01604003425113132
112.30000000000001,0.02219447789999829,112.87812338419215,-1.3452426095336243,0.015652958967723757
112.4,0.019924500780249543,112.97814914485471,-1.2566623612107741,0.015252892981931387
112.5,0.017807195216050342,113.07817155725739,-1.1704151531751008,0.014839747740279033
112.60000000000001,0.015838412800002866,113.17819093590074,-1.0865757723029603,0.014413434754275867
112.7,0.014013875495061168,113.27820757919763,-1.0052195414227658,0.013973865511335115
112.80000000000001,0.012329174597528247,113.37822176927641,-0.9264223195838164,0.013520951384681873
112.9,0.010779769700001829,113.47823377183377,-0.8502605026849235,0.013054603545984936
113.0,0.009360987654320141,113.57824383603979,-0.7768110244044198,0.012574732879331689
113.10000000000001,0.00806802153456676,113.67825219449742,-0.7061513574805482,0.012081249894779551
113.2,0.006895929599996187,113.77825906325903,-0.638359515306751,0.011574064647684387
113.30000000000001,0.0058396342580215865,113.87826464190267,-0.5735140538221289,0.011053086660794749
113.4,0.0048939210271590206,113.97826911367027,-0.5116940736993284,0.01051822484988834
113.5,0.004053437500005863,114.07827264567068,-0.4529792228040657,0.009969387456897918
113.60000000000001,0.0033126923061725932,114.17827538915027,-0.39744969888633164,0.0094064819864682
113.7,0.0026660540753140616,114.27827747983342,-0.34518625252763335,0.00882941514954946
113.80000000000001,0.0021077504000022174,114.37827903833626,-0.2962701902661427,0.008238092819120711
113.9,0.0016318667987635926,114.47828017065585,-0.25078337786969107,0.00763241998938494
114.0,0.0012323456790142018,114.57828096873828,-0.208808243781471,0.007012300747873915
114.10000000000001,0.0009029853000006582,114.67828151112812,-0.17042778260421718,0.0063776382600165965
114.2,0.0006374387358096811,114.77828186370238,-0.13572555865734495,0.005728334762979893
114.30000000000001,0.0004292128382750171,114.87828208049227,-0.10478570951354235,0.005064291575896154
114.4,0.0002716671999993814,114.97828220459533,-0.07769294947276595,0.004385409122701173
114.5,0.0001580131172769228,115.07828226918156,-0.054532572928238245,0.0036915869719281536
114.60000000000001,8.131255308407859e-05,115.17828229859644,-0.03539045753770403,0.002982723895374886
114.7,3.447710000203941e-05,115.27828230956423,-0.02035306713817811,0.0022587179467470713
114.80000000000001,1.0266943207604129e-05,115.3782823124949,-0.009507454310324206,0.0015194665574723202
114.9,1.2898234578173629e-06,115.47828231289785,-0.002941262568897632,0.0007974363165300763
115.0,0.0,115.57828231290615,-0.00036950720224444985,0.00025667357993802904
115.10000000000001,0.0,115.67828231290616,0.0,3.224558644498611e-05
115.2,0.0,115.77828231290616,0.0,0.0
115.30000000000001,0.0,115.87828231290617,0.0,0.0
115.4,0.0,115.97828231290616,0.0,0.0
115.5,0.0,116.07828231290615,0.0,0.0
